description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
abduction,621,2.7599999999999998,2.0600000000000001,5.5300000000000002,2.4300000000000002,3.4900000000000002,2.3799999999999999,1
abortion,622,3.5,2.2999999999999998,5.3899999999999997,2.7999999999999998,4.5899999999999999,2.54,6
accident,2,2.0499999999999998,1.1899999999999999,6.2599999999999998,2.8700000000000001,3.7599999999999998,2.2200000000000002,33
ache,627,2.46,1.52,5.0,2.4500000000000002,3.54,1.73,4
addict,581,2.48,2.0800000000000001,5.6600000000000001,2.2599999999999998,3.7200000000000002,2.54,1
addicted,628,2.5099999999999998,1.4199999999999999,4.8099999999999996,2.46,3.46,2.23,3
agony,10,2.4300000000000002,2.1699999999999999,6.0599999999999996,2.6699999999999999,4.0199999999999996,2.4900000000000002,9
alcoholic,582,2.8399999999999999,2.3399999999999999,5.6900000000000004,2.3599999999999999,4.4500000000000002,2.5600000000000001,3
alimony,634,3.9500000000000002,2.0,4.2999999999999998,2.29,4.6299999999999999,2.2999999999999998,2
allergy,636,3.0699999999999998,1.6399999999999999,4.6399999999999997,2.3399999999999999,3.21,1.77,1
alone,12,2.4100000000000001,1.77,4.8300000000000001,2.6600000000000001,3.7000000000000002,2.4199999999999999,195
anguished,19,2.1200000000000001,1.5600000000000001,5.3300000000000001,2.6899999999999999,3.4500000000000002,2.3700000000000001,2
arrogant,25,3.6899999999999999,2.3999999999999999,5.6500000000000004,2.23,5.1399999999999997,2.71,2
assassin,26,3.0899999999999999,2.0899999999999999,6.2800000000000002,2.5299999999999998,4.3300000000000001,2.6800000000000002,6
avalanche,645,3.29,1.95,5.54,2.3700000000000001,3.6099999999999999,2.0,1
bankrupt,32,2.0,1.3100000000000001,6.21,2.79,3.27,2.3900000000000001,5
bastard,33,3.3599999999999999,2.1600000000000001,6.0700000000000003,2.1499999999999999,4.1699999999999999,2.3999999999999999,12
beggar,36,3.2200000000000002,2.02,4.9100000000000001,2.4500000000000002,4.0899999999999999,2.3799999999999999,2
blackmail,40,2.9500000000000002,1.95,6.0300000000000002,2.7000000000000002,3.54,2.6699999999999999,2
bland,658,4.0999999999999996,1.0800000000000001,3.29,1.8899999999999999,4.8799999999999999,1.27,3
blasphemy,659,3.75,2.2599999999999998,4.9299999999999997,2.3399999999999999,4.75,1.5900000000000001,4
blind,43,3.0499999999999998,1.99,4.3899999999999997,2.3599999999999999,3.2799999999999998,1.9099999999999999,47
blister,661,2.8799999999999999,1.75,4.0999999999999996,2.3399999999999999,3.98,1.8999999999999999,3
blubber,663,3.52,1.99,4.5700000000000003,2.3799999999999999,3.8599999999999999,1.97,1
