description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
activate,4,5.46,0.97999999999999998,4.8600000000000003,2.5600000000000001,5.4299999999999997,1.8400000000000001,2
alien,633,5.5999999999999996,1.8200000000000001,5.4500000000000002,2.1499999999999999,4.6399999999999997,2.0699999999999998,16
aloof,13,4.9000000000000004,1.9199999999999999,4.2800000000000002,2.1000000000000001,4.6900000000000004,1.9199999999999999,5
ankle,638,5.2699999999999996,1.54,4.1600000000000001,2.0299999999999998,4.7699999999999996,1.74,8
appliance,641,5.0999999999999996,1.21,4.0499999999999998,2.0600000000000001,5.0499999999999998,1.3400000000000001,5
arm,642,5.3399999999999999,1.8200000000000001,3.5899999999999999,2.3999999999999999,5.0700000000000003,1.5,94
army,23,4.7199999999999998,1.75,5.0300000000000002,2.0299999999999998,5.0300000000000002,2.4500000000000002,132
avenue,646,5.5,1.3700000000000001,4.1200000000000001,2.0099999999999998,5.4000000000000004,1.53,46
banner,649,5.4000000000000004,0.82999999999999996,3.8300000000000001,1.95,4.7999999999999998,1.5700000000000001,8
barrel,651,5.0499999999999998,1.46,3.3599999999999999,2.2799999999999998,4.8899999999999997,1.5700000000000001,24
basket,547,5.4500000000000002,1.1499999999999999,3.6299999999999999,2.02,5.7599999999999998,1.45,17
bathroom,548,5.5499999999999998,1.3600000000000001,3.8799999999999999,1.72,5.6500000000000004,1.5900000000000001,18
bench,655,4.6100000000000003,1.3999999999999999,3.5899999999999999,2.0699999999999998,4.6799999999999997,1.3799999999999999,35
black,543,5.3899999999999997,1.8,4.6100000000000003,2.2400000000000002,5.1399999999999997,1.79,203
blase,41,4.8899999999999997,1.1599999999999999,3.9399999999999999,1.76,4.5700000000000003,1.4399999999999999,7
board,664,4.8200000000000003,1.23,3.3599999999999999,2.1200000000000001,4.9800000000000004,1.77,239
body,665,5.5499999999999998,2.3700000000000001,5.5199999999999996,2.6299999999999999,5.3399999999999999,2.1200000000000001,276
book,47,5.7199999999999998,1.54,4.1699999999999999,2.4900000000000002,5.2999999999999998,2.0499999999999998,193
bowl,49,5.3300000000000001,1.3300000000000001,3.4700000000000002,2.1200000000000001,4.6900000000000004,1.6699999999999999,23
boxer,585,5.5099999999999998,1.8,5.1200000000000001,2.2599999999999998,5.0999999999999996,1.6399999999999999,1
building,550,5.29,1.1499999999999999,3.9199999999999999,1.9399999999999999,5.25,1.5700000000000001,160
busybody,674,5.1699999999999999,2.02,4.8399999999999999,2.4100000000000001,5.4500000000000002,1.97,.
butter,57,5.3300000000000001,1.2,3.1699999999999999,1.8400000000000001,4.6699999999999999,1.6899999999999999,27
cabinet,675,5.0499999999999998,0.31,3.4300000000000002,1.8500000000000001,4.7300000000000004,1.6599999999999999,17
cannon,678,4.9000000000000004,2.2000000000000002,4.71,2.8399999999999999,5.1699999999999999,2.29,7
cat,504,5.7199999999999998,2.4300000000000002,4.3799999999999999,2.2400000000000002,6.1600000000000001,2.0499999999999998,.
chair,66,5.0800000000000001,0.97999999999999998,3.1499999999999999,1.77,4.5599999999999996,1.6000000000000001,66
chance,683,6.0199999999999996,1.77,5.3799999999999999,2.5800000000000001,4.6399999999999997,1.9299999999999999,131
chin,685,5.29,1.27,3.3100000000000001,1.98,5.2599999999999998,1.48,27
circle,687,5.6699999999999999,1.26,3.8599999999999999,2.1299999999999999,5.0300000000000002,1.46,60
city,73,6.0300000000000002,1.3700000000000001,5.2400000000000002,2.5299999999999998,5.7400000000000002,2.0800000000000001,393
clock,688,5.1399999999999997,1.54,4.0199999999999996,2.54,4.6699999999999999,1.97,20
coast,691,5.9800000000000004,1.8600000000000001,4.5899999999999999,2.3100000000000001,5.6699999999999999,1.71,61
coin,692,6.0199999999999996,1.96,4.29,2.48,5.6600000000000001,1.6799999999999999,10
column,695,5.1699999999999999,0.84999999999999998,3.6200000000000001,1.9099999999999999,4.8099999999999996,1.5800000000000001,71
concentrate,78,5.2000000000000002,1.28,4.6500000000000004,2.1299999999999999,4.9699999999999998,1.75,11
consoled,81,5.7800000000000002,1.6399999999999999,4.5300000000000002,2.2200000000000002,4.4400000000000004,1.8400000000000001,2
contents,83,4.8899999999999997,0.89000000000000001,4.3200000000000003,2.1400000000000001,4.8499999999999996,1.49,16
context,84,5.2000000000000002,1.3799999999999999,4.2199999999999998,2.2400000000000002,5.1699999999999999,1.3899999999999999,2
cord,698,5.0999999999999996,1.0900000000000001,3.54,2.0899999999999999,5.0,1.22,6
cork,699,5.2199999999999998,1.1299999999999999,3.7999999999999998,2.1800000000000002,4.9800000000000004,1.04,9
corridor,701,4.8799999999999999,1.1399999999999999,3.6299999999999999,2.4100000000000001,5.0,1.48,17
cow,554,5.5700000000000003,1.53,3.4900000000000002,2.1299999999999999,5.3200000000000003,1.6100000000000001,29
curtains,710,4.8300000000000001,0.82999999999999996,3.6699999999999999,1.8300000000000001,5.0499999999999998,1.5600000000000001,8
custom,96,5.8499999999999996,1.53,4.6600000000000001,2.1200000000000001,5.0,1.8700000000000001,14
dark,714,4.71,2.3599999999999999,4.2800000000000002,2.21,4.8399999999999999,2.1499999999999999,185
detail,724,5.5499999999999998,1.5800000000000001,4.0999999999999996,2.2400000000000002,5.21,1.6000000000000001,72
door,130,5.1299999999999999,1.4399999999999999,3.7999999999999998,2.29,4.6900000000000004,1.72,312
egg,736,5.29,1.8200000000000001,3.7599999999999998,2.3900000000000001,4.4900000000000002,2.1600000000000001,12
elbow,737,5.1200000000000001,0.92000000000000004,3.8100000000000001,2.1400000000000001,4.8799999999999999,1.52,10
elevator,738,5.4400000000000004,1.1799999999999999,4.1600000000000001,1.99,4.3200000000000003,1.6899999999999999,12
engine,148,5.2000000000000002,1.1799999999999999,3.98,2.3300000000000001,5.0,1.77,50
ennui,146,5.0899999999999999,1.76,4.4000000000000004,2.3300000000000001,4.6699999999999999,1.8,.
fabric,742,5.2999999999999998,1.2,4.1399999999999997,1.98,5.0300000000000002,1.6100000000000001,15
farm,557,5.5300000000000002,1.8500000000000001,3.8999999999999999,1.95,5.5899999999999999,1.8100000000000001,125
finger,752,5.29,1.4199999999999999,3.7799999999999998,2.4199999999999999,5.0499999999999998,1.7,40
fish,559,6.04,1.9399999999999999,4.0,2.1899999999999999,6.0199999999999996,1.6799999999999999,35
flag,753,6.0199999999999996,1.6599999999999999,4.5999999999999996,2.3500000000000001,5.5,1.6599999999999999,16
