description,word_no,valence_mean,valence_sd,arousal_mean,arousal_sd,dominance_mean,dominance_sd,word_frequency
abundance,624,6.5899999999999999,2.0099999999999998,5.5099999999999998,2.6299999999999999,5.7999999999999998,2.1600000000000001,13
acceptance,625,7.9800000000000004,1.4199999999999999,5.4000000000000004,2.7000000000000002,6.6399999999999997,1.9099999999999999,49
ace,626,6.8799999999999999,1.9299999999999999,5.5,2.6600000000000001,6.3899999999999997,2.3100000000000001,15
achievement,3,7.8899999999999997,1.3799999999999999,5.5300000000000002,2.8100000000000001,6.5599999999999996,2.3500000000000001,65
admired,5,7.7400000000000002,1.8400000000000001,6.1100000000000003,2.3599999999999999,7.5300000000000002,1.9399999999999999,17
adorable,6,7.8099999999999996,1.24,5.1200000000000001,2.71,5.7400000000000002,2.48,3
advantage,629,6.9500000000000002,1.8500000000000001,4.7599999999999998,2.1800000000000002,6.3600000000000003,2.23,73
adventure,630,7.5999999999999996,1.5,6.9800000000000004,2.1499999999999999,6.46,1.6699999999999999,14
agreement,631,7.0800000000000001,1.5900000000000001,5.0199999999999996,2.2400000000000002,6.2199999999999998,1.8500000000000001,106
alive,635,7.25,2.2200000000000002,5.5,2.7400000000000002,6.3899999999999997,2.1499999999999999,57
ambition,14,7.04,1.98,5.6100000000000003,2.9199999999999999,6.9299999999999997,2.0699999999999998,19
angel,16,7.5300000000000002,1.5800000000000001,4.8300000000000001,2.6299999999999999,4.9699999999999998,2.3399999999999999,18
answer,639,6.6299999999999999,1.6799999999999999,5.4100000000000001,2.4300000000000002,5.8499999999999996,1.8799999999999999,152
applause,640,7.5,1.5,5.7999999999999998,2.79,6.4800000000000004,2.1099999999999999,14
aroused,24,7.9699999999999998,1.0,6.6299999999999999,2.7000000000000002,6.1399999999999997,1.97,20
art,643,6.6799999999999997,2.1000000000000001,4.8600000000000003,2.8799999999999999,5.2999999999999998,2.3300000000000001,208
astonished,28,6.5599999999999996,1.6100000000000001,6.5800000000000001,2.2200000000000002,5.1600000000000001,1.79,6
astronaut,501,6.6600000000000001,1.6000000000000001,5.2800000000000002,2.1099999999999999,5.2000000000000002,1.95,2
athletics,644,6.6100000000000003,2.0800000000000001,6.0999999999999996,2.29,6.1200000000000001,2.1200000000000001,9
awed,30,6.7000000000000002,1.3799999999999999,5.7400000000000002,2.3100000000000001,5.2999999999999998,2.0299999999999998,5
baby,31,8.2200000000000006,1.2,5.5300000000000002,2.7999999999999998,5.0,2.7999999999999998,62
bath,502,7.3300000000000001,1.45,4.1600000000000001,2.3100000000000001,6.4100000000000001,1.8700000000000001,26
bathtub,652,6.6900000000000004,1.5700000000000001,4.3600000000000003,2.5899999999999999,5.7599999999999998,1.76,4
beach,34,8.0299999999999994,1.5900000000000001,5.5300000000000002,3.0699999999999998,5.4400000000000004,2.52,61
beautiful,654,7.5999999999999996,1.6399999999999999,6.1699999999999999,2.3399999999999999,6.29,1.8100000000000001,127
beauty,35,7.8200000000000003,1.1599999999999999,4.9500000000000002,2.5699999999999998,5.5300000000000002,2.1000000000000001,71
bed,549,7.5099999999999998,1.3799999999999999,3.6099999999999999,2.5600000000000001,6.8799999999999999,1.78,127
beverage,657,6.8300000000000001,1.48,5.21,2.46,5.6299999999999999,2.1699999999999999,5
birthday,39,7.8399999999999999,1.9199999999999999,6.6799999999999997,2.1099999999999999,5.8899999999999997,2.6099999999999999,18
bless,42,7.1900000000000004,1.6899999999999999,4.0499999999999998,2.5899999999999999,5.5199999999999996,2.2200000000000002,9
bliss,660,6.9500000000000002,2.2400000000000002,4.4100000000000001,2.9500000000000002,6.1200000000000001,2.1499999999999999,4
blossom,44,7.2599999999999998,1.1799999999999999,5.0300000000000002,2.6499999999999999,5.5300000000000002,2.21,7
blue,544,6.7599999999999998,1.78,4.3099999999999996,2.2000000000000002,5.6299999999999999,1.6399999999999999,143
bold,45,6.7999999999999998,1.6100000000000001,5.5999999999999996,2.21,6.6699999999999999,1.8100000000000001,21
bouquet,667,7.0199999999999996,1.8400000000000001,5.46,2.4700000000000002,6.1500000000000004,1.8,4
brave,668,7.1500000000000004,1.6399999999999999,6.1500000000000004,2.4500000000000002,7.2199999999999998,1.8600000000000001,24
breeze,669,6.8499999999999996,1.71,4.3700000000000001,2.3199999999999998,5.54,1.6699999999999999,14
bride,670,7.3399999999999999,1.71,5.5499999999999998,2.7400000000000002,5.7400000000000002,2.3599999999999999,33
bright,671,7.5,1.55,5.4000000000000004,2.3300000000000001,6.3399999999999999,1.8200000000000001,87
brother,52,7.1100000000000003,2.1699999999999999,4.71,2.6800000000000002,5.1200000000000001,2.3100000000000001,73
bunny,54,7.2400000000000002,1.3200000000000001,4.0599999999999996,2.6099999999999999,4.9699999999999998,2.1800000000000002,1
